channel,date,text,thread,timestamp,url,username
admin-announcements,2017-01-11,"Just an FYI: tonight we archived all channels that had zero or one members as part of general housekeeping. We're likely to archive several more low membership channels over the next few days. If you have created a low membership channel for a specific purpose and want it to be exempt from this ""purge"", please DM myself or one of the other admins and let us know about your channel. Thanks. ",1,07:01:53,https://clojurians-log.clojureverse.org/admin-announcements/2017-01-11,seancorfield
admin-announcements,2017-01-11,thank you Sean!,2,09:01:46,https://clojurians-log.clojureverse.org/admin-announcements/2017-01-11,robert-stuttaford
admin-announcements,2017-01-11,A quick PSA to let folks know in addition to ,3,21:01:54,https://clojurians-log.clojureverse.org/admin-announcements/2017-01-11,seancorfield
admin-announcements,2017-11-02,"Hello everyone, to get rid annoying (and confusing) warnings about file storage space we are considering purging old files on a regular basis. Most likely this will mean that every week we delete files older than 30 days.

If you have any files stored in this Slack that you need please download them within the next 10 days (i.e. until 2017-11-12). 

Follow up questions can go to ",1,18:11:35,https://clojurians-log.clojureverse.org/admin-announcements/2017-11-02,martinklepsch
admin-announcements,2018-01-05,"Clojurians continues to grow -- we're almost 12,000 string now! -- and we have over 400 channels for you to explore. On that topic, in addition to ",1,17:01:54,https://clojurians-log.clojureverse.org/admin-announcements/2018-01-05,seancorfield
admin-announcements,2018-11-08,"In light of the unpleasant activity by some bad actors in a few channels the other night, we've added a new Admin in a timezone that can cover the period between me going to bed on the West Coast and our European Admins waking up. ",1,06:11:55,https://clojurians-log.clojureverse.org/admin-announcements/2018-11-08,seancorfield
admin-announcements,2016-08-11,,1,07:08:23,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-11,vijaykiran
admin-announcements,2016-08-14,"caesium 0.8.0 is out! It’s a Clojure-first binding to libsodium that gives you strong, modern, fast and easy to use crypto while not compromising on making low-level APIs available when you need them. Tons of automated testing and benchmarks as per usual. Tons of cool changes in this version, especially around simplifying which JVM byte types get used in what cases (still mostly backwards compatible if you use the high-level API) ",1,13:08:53,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-14,lvh
admin-announcements,2016-08-14,"I made a demo of Stack Editor, it's a new way of editing Clojure code, by managing and jump between functions. Now I can use it in my app. Hope someone is interested too. ",2,15:08:38,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-14,jiyinyiyong
admin-announcements,2016-08-14,This channel is for announcements only. Please move all discussion to ,3,17:08:07,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-14,akiva
admin-announcements,2016-08-15,,1,13:08:23,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-15,alexmiller
admin-announcements,2016-08-15," - Erlang/otp primitives on top of core.async processes, process linking, process monitoring, process registration and tracing is there. initial gen_server is also done. Supervision is still to come.",2,17:08:31,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-15,aav
admin-announcements,2016-08-15,Datomic 0.9.5394 is now available ,3,17:08:48,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-15,marshall
admin-announcements,2016-08-16,Post Free Clojure Jobs -> ,1,12:08:42,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-16,ertucetin
admin-announcements,2016-08-16,"New guide/mini-ebook (also pdf, ebub, mobi) ",2,16:08:05,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-16,plexus
admin-announcements,2016-08-17,[ann] catacumba 1.0.0 released - the release is mainly focused on code cleaning and minor refactoring (now with support for async body reading) - ,1,15:08:35,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-17,niwinz
admin-announcements,2016-08-19,"CfP for Clojure eXchange in London 1st-2nd December closes on Tuesday 30th August. If you've been working on a Clojure open source library, have an experience report on how you've used Clojure, or have a creative music/art project using Clojure please submit a talk. ",1,07:08:00,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-19,agile_geek
admin-announcements,2016-08-19,Clojure 1.9.0-alpha11 release: ,2,18:08:07,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-19,alexmiller
admin-announcements,2016-08-21,"re-frame v0.8.0 released
",1,11:08:19,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-21,mikethompson
admin-announcements,2016-08-22,"Hi all,

I'm running a small beta release of a new kind of interactive computing notebook called Literate Markdown. It's basically a cloud-based Jupyter notebook with multi-language support and collaboration features, and I'd love to get a few people to try out the Clojure support.

If you're interested, you should create an account, then go to your profile page and click the ""Apply to the beta"" button: ",1,02:08:15,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-22,thomasjm
admin-announcements,2016-08-22,: I applied to your beta,2,07:08:45,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-22,camdenclark
admin-announcements,2016-08-22," so did I, looks like a coolproject",3,15:08:59,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-22,pesterhazy
admin-announcements,2016-08-22,: ,4,15:08:42,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-22,eggsyntax
admin-announcements,2016-08-23, < Your comic relief with Village Idiots (,1,17:08:02,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-23,vijaykiran
admin-announcements,2016-08-24,There’s a new release of Cloverage out at ,1,13:08:11,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-24,lvh
admin-announcements,2016-08-25,"Leiningen 2.7.0 is out!

Changelog is over at ",1,01:08:01,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-25,hypirion
admin-announcements,2016-08-25,Dirac DevTools v0.6.4: ,2,18:08:18,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-25,darwin
